expression,original_order,source,reviewed_as,difficulty,commonality,added,confidence
in contradistinction to something/somebody,2791,user_list,fixed expression,medium,common,no,medium
in convoy,2792,user_list,fixed/prepositional phrase,easy,very_common,no,high
in full measure,2793,user_list,fixed/prepositional phrase,easy,very_common,no,high
in microcosm,2794,user_list,fixed/prepositional phrase,easy,very_common,no,high
in pursuance of something,2795,user_list,fixed expression,medium,common,no,medium
in the ascendant,2796,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the land of Nod,2797,user_list,fixed expression,medium,less_common,no,medium
in twos and threes,2798,user_list,binomial phrase,medium,common,no,medium
jump down somebody's throat,2799,user_list,idiom,hard,common,no,medium
jump/be thrown in at the deep end,2800,user_list,fixed expression,medium,less_common,no,low
keep a weather eye on somebody/something,2801,user_list,idiom,hard,less_common,no,medium
keep/leave somebody dangling,2802,user_list,fixed expression,medium,common,no,medium
kick somebody when they're down,2803,user_list,fixed expression,medium,less_common,no,medium
kill or cure,2804,user_list,binomial phrase,medium,common,no,medium
kith and kin,2805,user_list,binomial phrase,medium,common,no,medium
labour the point,2806,user_list,fixed expression,medium,common,no,medium
laugh all the way to the bank,2807,user_list,fixed expression,medium,less_common,no,low
lead somebody up/down the garden path,2808,user_list,fixed expression,medium,less_common,no,low
lead/live the life of Riley,2809,user_list,fixed expression,medium,less_common,no,medium
leave nothing/little to the imagination,2810,user_list,fixed expression,medium,less_common,no,medium
lie in state,2811,user_list,fixed expression,medium,common,no,medium
like it's going out of fashion,2812,user_list,fixed expression,medium,less_common,no,low
look like something the cat brought/dragged in,2813,user_list,idiom,hard,less_common,no,medium
look/feel like death warmed up,2814,user_list,fixed expression,medium,less_common,no,medium
make a joke of something,2815,user_list,fixed expression,medium,less_common,no,medium
make a rod for your own back,2816,user_list,idiom,hard,less_common,no,medium
make eyes at somebody,2817,user_list,idiom,hard,common,no,medium
make inroads into/on something,2818,user_list,fixed expression,medium,common,no,medium
miles from anywhere,2819,user_list,idiom,hard,common,no,medium
mind the shop,2820,user_list,idiom,hard,common,no,medium
never the twain shall meet,2821,user_list,fixed expression,medium,less_common,no,medium
no sooner said than done,2822,user_list,fixed expression,medium,less_common,no,medium
not a dry eye in the house,2823,user_list,fixed expression,medium,less_common,no,low
not a/one jot,2824,user_list,fixed expression,medium,common,no,medium
not at any price,2825,user_list,fixed expression,medium,common,no,medium
not by a long chalk,2826,user_list,fixed expression,medium,less_common,no,medium
not harm/hurt a fly,2827,user_list,fixed expression,medium,common,no,medium
not know where to look,2828,user_list,fixed expression,medium,less_common,no,medium
not much cop,2829,user_list,fixed expression,medium,common,no,medium
not proven,2830,user_list,fixed expression,medium,common,no,medium
not quite the thing,2831,user_list,fixed expression,medium,common,no,medium
not to be sniffed at,2832,user_list,fixed expression,medium,less_common,no,medium
not to put too fine a point on it,2833,user_list,fixed expression,medium,less_common,no,low
not worth the paper it's written/printed on,2834,user_list,fixed expression,medium,less_common,no,low
of no/little account,2835,user_list,fixed/prepositional phrase,easy,very_common,no,high
of unsound mind,2836,user_list,fixed/prepositional phrase,easy,very_common,no,high
on everyone's lips,2837,user_list,fixed/prepositional phrase,easy,very_common,no,high
on somebody's say-so,2838,user_list,fixed expression,medium,common,no,medium
on the front burner,2839,user_list,fixed/prepositional phrase,medium,common,no,high
on your uppers,2840,user_list,fixed/prepositional phrase,easy,very_common,no,high
one good turn deserves another,2841,user_list,fixed expression,medium,less_common,no,medium
out of sympathy with somebody/something,2842,user_list,fixed expression,medium,less_common,no,medium
paint something with a broad brush,2843,user_list,fixed expression,medium,less_common,no,low
pass the hat round/around,2844,user_list,fixed expression,medium,common,no,medium
pick holes in something,2845,user_list,fixed expression,medium,common,no,medium
pick up/take the ball and run with it,2846,user_list,idiom,hard,less_common,no,medium
prime the pump,2847,user_list,fixed expression,medium,common,no,medium
put one over on somebody,2848,user_list,multi-word verb,medium,less_common,no,medium
put your shoulder to the wheel,2849,user_list,idiom,hard,less_common,no,medium
quids in,2850,user_list,fixed expression,medium,common,no,medium
raise/lower your sights,2851,user_list,fixed expression,medium,common,no,medium
rake somebody over the coals,2852,user_list,fixed expression,medium,less_common,no,medium
ride the crest of something,2853,user_list,fixed expression,medium,less_common,no,medium
say a mouthful,2854,user_list,fixed expression,medium,common,no,medium
scream blue murder,2855,user_list,fixed expression,medium,common,no,medium
serve two masters,2856,user_list,fixed expression,medium,common,no,medium
set light to something,2857,user_list,fixed expression,medium,common,no,medium
set up home,2858,user_list,multi-word verb,medium,common,no,medium
shock horror,2859,user_list,fixed expression,medium,common,no,medium
sing from the same hymn/song sheet,2860,user_list,fixed expression,medium,less_common,no,low
slog/sweat/work your guts out,2861,user_list,fixed expression,medium,common,no,medium
snatch victory from the jaws of defeat,2862,user_list,fixed expression,medium,less_common,no,low
sob your heart out,2863,user_list,idiom,hard,common,no,medium
somebody can whistle for something,2864,user_list,idiom,hard,common,no,medium
somebody deserves a medal,2865,user_list,fixed expression,medium,common,no,medium
somebody won't thank you for something,2866,user_list,fixed expression,medium,less_common,no,low
somebody's name is mud,2867,user_list,fixed expression,medium,common,no,medium
split the ticket,2868,user_list,fixed expression,medium,common,no,medium
spring a trap,2869,user_list,fixed expression,medium,common,no,medium
stir your stumps,2870,user_list,fixed expression,medium,common,no,medium
straight from the shoulder,2871,user_list,idiom,hard,common,no,medium
swear blind,2872,user_list,fixed expression,medium,common,no,medium
swings and roundabouts,2873,user_list,binomial phrase,medium,common,no,medium
take evasive action,2874,user_list,fixed expression,medium,common,no,medium
take it/something as read,2875,user_list,fixed expression,medium,common,no,medium
take somebody/something to the mat,2876,user_list,fixed expression,medium,less_common,no,medium
take to your heels,2877,user_list,multi-word verb,medium,less_common,no,medium
tar and feather somebody,2878,user_list,binomial phrase,medium,common,no,medium
teach to the test,2879,user_list,fixed expression,medium,common,no,medium
the armpit of something,2880,user_list,fixed expression,medium,common,no,medium
the best that money can buy,2881,user_list,fixed expression,medium,less_common,no,low
the company somebody keeps,2882,user_list,fixed expression,medium,common,no,medium
the Elysian Fields,2883,user_list,fixed expression,hard,rare,no,medium
the emperor has no clothes,2884,user_list,fixed expression,medium,less_common,no,medium
the gloves are off,2885,user_list,fixed expression,medium,common,no,medium
the heavy mob/brigade,2886,user_list,fixed expression,medium,common,no,medium
the joker in the pack,2887,user_list,fixed expression,medium,less_common,no,medium
the less/least said the better,2888,user_list,fixed expression,medium,less_common,no,medium
the man of the match,2889,user_list,fixed expression,medium,less_common,no,medium
the road to Damascus,2890,user_list,idiom,hard,common,no,medium
the road to hell is paved with good intentions,2891,user_list,idiom,hard,less_common,no,medium
the soft/easy option,2892,user_list,fixed expression,medium,common,no,medium
the three Rs,2893,user_list,fixed expression,medium,common,no,medium
the university of life,2894,user_list,fixed expression,medium,common,no,medium
the villain of the piece,2895,user_list,fixed expression,medium,less_common,no,medium
the year dot,2896,user_list,fixed expression,medium,common,no,medium
the/a curate's egg,2897,user_list,idiom,hard,rare,no,medium
there or thereabouts,2898,user_list,binomial phrase,medium,common,no,medium
thin on top,2899,user_list,fixed expression,medium,common,no,medium
throw shapes,2900,user_list,fixed expression,medium,common,no,medium
throw somebody to the dogs,2901,user_list,multi-word verb,medium,less_common,no,medium
throw the baby out with the bathwater,2902,user_list,fixed expression,medium,less_common,no,low
throw your hat into the ring,2903,user_list,fixed expression,medium,less_common,no,low
throw your money about/around,2904,user_list,fixed expression,medium,common,no,medium
tilt at windmills,2905,user_list,fixed expression,medium,common,no,medium
to do the decent thing,2906,user_list,fixed expression,medium,less_common,no,medium
to little/no purpose,2907,user_list,fixed/prepositional phrase,easy,very_common,no,high
to put/place somebody on a pedestal,2908,user_list,fixed expression,medium,less_common,no,low
too much like hard work,2909,user_list,fixed expression,medium,less_common,no,medium
turn on the waterworks,2910,user_list,multi-word verb,medium,less_common,no,medium
under the aegis of somebody/something,2911,user_list,fixed expression,medium,less_common,no,medium
virtue is its own reward,2912,user_list,fixed expression,medium,less_common,no,medium
weight of numbers,2913,user_list,fixed expression,medium,common,no,medium
what the hey!,2914,user_list,formula/discourse,easy,very_common,no,high
what/where/who the blazes...?,2915,user_list,sentence frame/pattern,medium,common,no,low
where does somebody go from here?,2916,user_list,sentence frame/pattern,medium,common,no,low
with knobs on,2917,user_list,fixed/prepositional phrase,easy,very_common,no,high
with malice aforethought,2918,user_list,fixed/prepositional phrase,hard,rare,no,high
with one accord,2919,user_list,fixed/prepositional phrase,easy,very_common,no,high
woe is me!,2920,user_list,formula/discourse,easy,very_common,no,high
work your arse off,2921,user_list,fixed expression,hard,rare,no,medium
you have/you've got to laugh,2922,user_list,formula/discourse,medium,common,no,high
your considered opinion,2923,user_list,fixed expression,medium,common,no,medium
your/somebody's luck is in,2924,user_list,fixed expression,medium,common,no,medium
at/in a canter,2925,user_list,fixed expression,medium,common,no,medium
bang goes something,2926,user_list,fixed expression,medium,common,no,medium
be a bag/bundle of nerves,2927,user_list,fixed expression,medium,less_common,no,medium
be a dead ringer for somebody,2928,user_list,fixed expression,medium,less_common,no,low
be close to/near the mark,2929,user_list,fixed expression,medium,less_common,no,medium
be cooking with gas,2930,user_list,fixed expression,medium,common,no,medium
be frightened/scared/terrified out of your wits,2931,user_list,fixed expression,medium,less_common,no,low
be gagging for something/to do something,2932,user_list,fixed expression,medium,less_common,no,low
be level pegging,2933,user_list,fixed expression,medium,common,no,medium
be like taking candy from a baby,2934,user_list,fixed expression,medium,less_common,no,low
be not to know,2935,user_list,fixed expression,medium,common,no,medium
be off your rocker,2936,user_list,multi-word verb,medium,less_common,no,medium
be scared/bored witless,2937,user_list,fixed expression,medium,common,no,medium
be/get beyond a joke,2938,user_list,fixed expression,medium,common,no,medium
full of the joys of spring,2939,user_list,fixed expression,medium,less_common,no,low
get on somebody's wick,2940,user_list,multi-word verb,medium,less_common,no,medium
get your tongue around/round something,2941,user_list,idiom,hard,common,no,medium
get/have your end away,2942,user_list,fixed expression,medium,common,no,medium
give it some welly,2943,user_list,fixed expression,medium,common,no,medium
give props to somebody,2944,user_list,fixed expression,medium,common,no,medium
give somebody enough rope,2945,user_list,idiom,hard,common,no,medium
give somebody up for lost,2946,user_list,multi-word verb,medium,less_common,no,medium
give/have it large,2947,user_list,fixed expression,medium,common,no,medium
go down like a lead balloon,2948,user_list,multi-word verb,medium,less_common,no,medium
go half and half,2949,user_list,binomial phrase,medium,common,no,medium
go through the mill,2950,user_list,multi-word verb,medium,less_common,no,medium
go to rack and ruin,2951,user_list,multi-word verb,medium,less_common,no,medium
go with a swing,2952,user_list,multi-word verb,medium,less_common,no,medium
groan under the weight of something,2953,user_list,fixed expression,medium,less_common,no,low
hand something to somebody on a plate,2954,user_list,idiom,hard,less_common,no,medium
have a bun in the oven,2955,user_list,fixed expression,medium,less_common,no,low
have a claim on somebody,2956,user_list,fixed expression,medium,less_common,no,medium
have a dog in the fight,2957,user_list,idiom,hard,less_common,no,medium
have a heart!,2958,user_list,formula/discourse,easy,very_common,no,high
have a poke around,2959,user_list,fixed expression,medium,common,no,medium
have a strong stomach,2960,user_list,idiom,hard,common,no,medium
have a whale of a time,2961,user_list,fixed expression,medium,less_common,no,low
have friends in high places,2962,user_list,fixed expression,medium,less_common,no,medium
have got it bad,2963,user_list,fixed expression,medium,common,no,medium
have had one too many,2964,user_list,fixed expression,medium,less_common,no,medium
have had your chips,2965,user_list,fixed expression,medium,common,no,medium
have it in mind to do something,2966,user_list,multi-word verb,medium,less_common,no,medium
have no stomach for something,2967,user_list,idiom,hard,common,no,medium
have shot your bolt,2968,user_list,fixed expression,medium,common,no,medium
have something coming out of your ears,2969,user_list,idiom,hard,less_common,no,medium
have your back to the wall,2970,user_list,idiom,hard,less_common,no,medium
have/give somebody a bumpy ride,2971,user_list,fixed expression,medium,less_common,no,medium
have/keep a foot in both camps,2972,user_list,idiom,hard,less_common,no,medium
hit the buffers,2973,user_list,fixed expression,medium,common,no,medium
horses for courses,2974,user_list,idiom,hard,common,no,medium
hue and cry,2975,user_list,binomial phrase,medium,common,no,medium
hum and haw,2976,user_list,binomial phrase,medium,common,no,medium
I'll knock your block/head off!,2977,user_list,formula/discourse,medium,common,no,high
if/when it comes to the point,2978,user_list,fixed expression,medium,less_common,no,low
in a trice,2979,user_list,fixed/prepositional phrase,easy,very_common,no,high
in abeyance,2980,user_list,fixed/prepositional phrase,easy,very_common,no,high
in all but name,2981,user_list,fixed/prepositional phrase,medium,common,no,high
in all probability...,2982,user_list,sentence frame/pattern,medium,common,no,low
in good heart,2983,user_list,fixed/prepositional phrase,easy,very_common,no,high
in old money,2984,user_list,fixed/prepositional phrase,easy,very_common,no,high
in short order,2985,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the first/top flight,2986,user_list,fixed/prepositional phrase,medium,common,no,high
in the last resort,2987,user_list,fixed/prepositional phrase,medium,common,no,high
in/with calf,2988,user_list,fixed expression,medium,common,no,medium
inside baseball,2989,user_list,fixed expression,medium,common,no,medium
Is the Pope a Catholic?,2990,user_list,formula/discourse,medium,common,no,high
it's all Greek to me,2991,user_list,fixed expression,medium,less_common,no,medium
it's chucking it down,2992,user_list,fixed expression,medium,common,no,medium
jolly good!,2993,user_list,formula/discourse,easy,very_common,no,high
keep body and soul together,2994,user_list,binomial phrase,medium,less_common,no,medium
keep the flag flying,2995,user_list,fixed expression,medium,common,no,medium
keep your pecker up,2996,user_list,fixed expression,medium,common,no,medium
kick somebody upstairs,2997,user_list,fixed expression,medium,common,no,medium
know somebody by sight,2998,user_list,fixed expression,medium,common,no,medium
know somebody in the biblical sense,2999,user_list,fixed expression,hard,rare,no,low
know which side your bread is buttered,3000,user_list,idiom,hard,less_common,no,medium
laugh on the other side of your face,3001,user_list,multi-word verb,medium,less_common,no,medium
laugh somebody/something out of court,3002,user_list,idiom,hard,common,no,medium
lay it on with a trowel,3003,user_list,fixed expression,medium,less_common,no,low
lend your name to something,3004,user_list,fixed expression,medium,less_common,no,medium
let somebody stew in their own juice,3005,user_list,formula/discourse,medium,common,no,high
let your heart rule your head,3006,user_list,formula/discourse,medium,common,no,high
like a dose of salts,3007,user_list,fixed expression,medium,less_common,no,medium
like a knife through butter,3008,user_list,idiom,hard,common,no,medium
like fury,3009,user_list,fixed expression,medium,common,no,medium
live off the fat of the land,3010,user_list,multi-word verb,medium,less_common,no,medium
look daggers at somebody,3011,user_list,fixed expression,medium,common,no,medium
look to your laurels,3012,user_list,multi-word verb,medium,less_common,no,medium
lose somebody/something in the shuffle,3013,user_list,fixed expression,medium,less_common,no,medium
lump it,3014,user_list,fixed expression,medium,common,no,medium
make a pitch for somebody/something,3015,user_list,fixed expression,medium,less_common,no,medium
make a point of doing something,3016,user_list,fixed expression,medium,less_common,no,low
make an exhibition of yourself,3017,user_list,fixed expression,medium,less_common,no,medium
make mincemeat of somebody,3018,user_list,fixed expression,medium,common,no,medium
make mischief,3019,user_list,fixed expression,medium,common,no,medium
make somebody's hackles rise,3020,user_list,fixed expression,medium,common,no,medium
make your flesh creep,3021,user_list,fixed expression,medium,common,no,medium
make yourself known to somebody,3022,user_list,fixed expression,medium,less_common,no,medium
make yourself understood,3023,user_list,fixed expression,medium,common,no,medium
mind your Ps and Qs,3024,user_list,binomial phrase,medium,less_common,no,medium
money for jam/old rope,3025,user_list,idiom,hard,common,no,medium
mum's the word!,3026,user_list,formula/discourse,easy,very_common,no,high
nail your colours to the mast,3027,user_list,idiom,hard,less_common,no,medium
name and shame,3028,user_list,binomial phrase,medium,common,no,medium
near the knuckle,3029,user_list,fixed expression,medium,common,no,medium
no room to swing a cat,3030,user_list,idiom,hard,less_common,no,medium
not a happy bunny,3031,user_list,fixed expression,medium,common,no,medium
not bother yourself/your headwith/about something,3032,user_list,fixed expression,medium,less_common,no,medium
not by any stretch of the imagination,3033,user_list,fixed expression,medium,less_common,no,low
not give somebody the time of day,3034,user_list,fixed expression,medium,less_common,no,low
not have a clue,3035,user_list,fixed expression,medium,common,no,medium
not have a leg to stand on,3036,user_list,idiom,hard,less_common,no,medium
not have a... bone in your body,3037,user_list,sentence frame/pattern,medium,common,no,low
not much chop,3038,user_list,fixed expression,medium,common,no,medium
not pass your lips,3039,user_list,idiom,hard,common,no,medium
not put your finger on something,3040,user_list,idiom,hard,less_common,no,medium
not see the forest for the trees,3041,user_list,fixed expression,medium,less_common,no,low
not see the wood for the trees,3042,user_list,fixed expression,medium,less_common,no,low
not the full quid,3043,user_list,fixed expression,medium,common,no,medium
of bad/good report,3044,user_list,fixed/prepositional phrase,easy,very_common,no,high
of easy virtue,3045,user_list,fixed/prepositional phrase,easy,very_common,no,high
off your own bat,3046,user_list,idiom,hard,common,no,medium
on draught,3047,user_list,fixed/prepositional phrase,easy,very_common,no,high
on first acquaintance,3048,user_list,fixed/prepositional phrase,easy,very_common,no,high
on no condition,3049,user_list,fixed/prepositional phrase,easy,very_common,no,high
on production of something,3050,user_list,fixed expression,medium,common,no,medium
on the horns of a dilemma,3051,user_list,fixed expression,medium,less_common,no,low
on your own account,3052,user_list,fixed/prepositional phrase,medium,common,no,high
one of the old school,3053,user_list,fixed expression,medium,less_common,no,medium
pale beside/next to something,3054,user_list,fixed expression,medium,common,no,medium
parting shot,3055,user_list,fixed expression,medium,common,no,medium
pay court to somebody,3056,user_list,idiom,hard,common,no,medium
pick up the threads,3057,user_list,multi-word verb,medium,less_common,no,medium
pinch pennies,3058,user_list,fixed expression,medium,common,no,medium
play gooseberry,3059,user_list,fixed expression,hard,rare,no,medium
play truant,3060,user_list,fixed expression,medium,common,no,medium
pluck something out of the air,3061,user_list,fixed expression,medium,less_common,no,low
prevention is better than cure,3062,user_list,fixed expression,medium,less_common,no,medium
prick your conscience,3063,user_list,fixed expression,medium,common,no,medium
put a figure on something,3064,user_list,fixed expression,medium,less_common,no,medium
put somebody off their stride,3065,user_list,multi-word verb,medium,less_common,no,medium
put somebody out to grass,3066,user_list,multi-word verb,medium,less_common,no,medium
put somebody to flight,3067,user_list,multi-word verb,medium,less_common,no,medium
put somebody to rout,3068,user_list,multi-word verb,medium,less_common,no,medium
put somebody to the sword,3069,user_list,multi-word verb,medium,less_common,no,medium
put somebody's nose out of joint,3070,user_list,idiom,hard,less_common,no,medium
put/set the cat among the pigeons,3071,user_list,idiom,hard,less_common,no,medium
put/stick your oar in,3072,user_list,fixed expression,medium,common,no,medium
quick/slow off the mark,3073,user_list,fixed expression,medium,common,no,medium
rap somebody on/over the knuckles,3074,user_list,fixed expression,medium,less_common,no,medium
red in tooth and claw,3075,user_list,binomial phrase,medium,less_common,no,medium
reduced circumstances,3076,user_list,fixed expression,medium,common,no,medium
rejoice in the name of...,3077,user_list,sentence frame/pattern,medium,common,no,low
ride herd on somebody/something,3078,user_list,fixed expression,medium,common,no,medium
roaring drunk,3079,user_list,fixed expression,medium,common,no,medium
run around like a headless chicken,3080,user_list,multi-word verb,medium,less_common,no,medium
run before you can walk,3081,user_list,multi-word verb,medium,less_common,no,medium
run somebody/something to earth/ground,3082,user_list,fixed expression,medium,common,no,medium
screw up your courage,3083,user_list,fixed expression,medium,common,no,medium
see the colour of somebody's money,3084,user_list,fixed expression,medium,less_common,no,low
set somebody's teeth on edge,3085,user_list,idiom,hard,common,no,medium
set tongues wagging,3086,user_list,fixed expression,medium,common,no,medium
set/put the world to rights,3087,user_list,fixed expression,medium,less_common,no,medium
shape up or ship out,3088,user_list,binomial phrase,medium,less_common,no,medium
shift your ground,3089,user_list,idiom,hard,common,no,medium
shoot the rapids,3090,user_list,fixed expression,medium,common,no,medium
shut up shop,3091,user_list,fixed expression,medium,common,no,medium
sit/stand silently by,3092,user_list,fixed expression,medium,common,no,medium
slap and tickle,3093,user_list,binomial phrase,medium,common,no,medium
slog it out,3094,user_list,fixed expression,medium,common,no,medium
smooth the path/way,3095,user_list,fixed expression,medium,common,no,medium
somebody's eyes are bigger than their stomach,3096,user_list,idiom,hard,less_common,no,medium
sort out/separate the sheep from the goats,3097,user_list,fixed expression,medium,less_common,no,low
stand/stick out a mile,3098,user_list,idiom,hard,common,no,medium
stone the crows,3099,user_list,idiom,hard,common,no,medium
strain at the leash,3100,user_list,fixed expression,medium,common,no,medium
stretch a point,3101,user_list,fixed expression,medium,common,no,medium
sugar/sweeten the pill,3102,user_list,fixed expression,medium,common,no,medium
suit your/somebody's book,3103,user_list,idiom,hard,common,no,medium
swear like a trooper,3104,user_list,fixed expression,medium,common,no,medium
sweep to victory,3105,user_list,fixed expression,medium,common,no,medium
swing the lead,3106,user_list,fixed expression,medium,common,no,medium
take a poke at somebody/something,3107,user_list,fixed expression,medium,less_common,no,medium
take some beating,3108,user_list,fixed expression,medium,common,no,medium
take the bad with the good,3109,user_list,fixed expression,medium,less_common,no,low
take the bread out of somebody's mouth,3110,user_list,idiom,hard,less_common,no,medium
take the rough with the smooth,3111,user_list,fixed expression,medium,less_common,no,low
take the weight off your feet,3112,user_list,idiom,hard,less_common,no,medium
take to your bed,3113,user_list,multi-word verb,medium,less_common,no,medium
take your courage in both hands,3114,user_list,idiom,hard,less_common,no,medium
take your lumps,3115,user_list,fixed expression,medium,common,no,medium
talk the hind leg off a donkey,3116,user_list,idiom,hard,less_common,no,medium
talk through your hat,3117,user_list,multi-word verb,medium,less_common,no,medium
tear somebody off a strip,3118,user_list,fixed expression,medium,less_common,no,medium
that's an idea!,3119,user_list,formula/discourse,easy,very_common,no,high
the back of beyond,3120,user_list,idiom,hard,common,no,medium
the battle lines are drawn,3121,user_list,fixed expression,medium,less_common,no,medium
the breath of life to/for somebody,3122,user_list,fixed expression,medium,less_common,no,low
the chattering classes,3123,user_list,fixed expression,medium,common,no,medium
the dead hand of something,3124,user_list,idiom,hard,common,no,medium
the devil makes work for idle hands,3125,user_list,proverb/saying,hard,less_common,no,medium
the evil hour/day/moment,3126,user_list,fixed expression,medium,common,no,medium
the exception that proves the rule,3127,user_list,fixed expression,medium,less_common,no,low
the facts speak for themselves,3128,user_list,fixed expression,medium,less_common,no,medium
the feel-good factor,3129,user_list,fixed expression,medium,common,no,medium
the finger of suspicion,3130,user_list,idiom,hard,common,no,medium
the happy/golden mean,3131,user_list,fixed expression,medium,common,no,medium
the milk of human kindness,3132,user_list,fixed expression,medium,less_common,no,medium
the primrose path,3133,user_list,fixed expression,hard,rare,no,medium
the staff of life,3134,user_list,fixed expression,medium,common,no,medium
the sweet smell of success,3135,user_list,fixed expression,medium,less_common,no,medium
the whole ball of wax,3136,user_list,idiom,hard,common,no,medium
there is no help for it,3137,user_list,proverb/saying,hard,less_common,no,medium
there is no holding somebody,3138,user_list,proverb/saying,hard,less_common,no,medium
these things are sent to try us,3139,user_list,fixed expression,medium,less_common,no,low
throw good money after bad,3140,user_list,fixed expression,medium,less_common,no,medium
to coin a phrase,3141,user_list,fixed/prepositional phrase,medium,common,no,high
to no effect,3142,user_list,fixed/prepositional phrase,easy,very_common,no,high
too many chiefs and not enough Indians,3143,user_list,fixed expression,medium,less_common,no,low
too many cooks spoil the broth,3144,user_list,fixed expression,medium,less_common,no,low
top and tail something,3145,user_list,binomial phrase,medium,common,no,medium
trim your sails,3146,user_list,fixed expression,medium,common,no,medium
turn King's/Queen's evidence,3147,user_list,fixed expression,medium,common,no,medium
twist/wrap/wind somebody around your little finger,3148,user_list,idiom,hard,less_common,no,medium
under licence,3149,user_list,fixed/prepositional phrase,easy,very_common,no,high
up yours!,3150,user_list,formula/discourse,easy,very_common,no,high
walk off the job,3151,user_list,multi-word verb,medium,less_common,no,medium
when the cat's away the mice will play,3152,user_list,proverb/saying,hard,less_common,no,medium
wide of the mark,3153,user_list,fixed expression,medium,common,no,medium
wipe somebody/something off the face of the earth,3154,user_list,idiom,hard,less_common,no,medium
with half an ear,3155,user_list,fixed/prepositional phrase,medium,common,no,high
with your nose in the air,3156,user_list,fixed expression,medium,less_common,no,low
with your tongue in your cheek,3157,user_list,fixed expression,medium,less_common,no,low
without ceremony,3158,user_list,fixed/prepositional phrase,hard,rare,no,high
wonders will never cease,3159,user_list,fixed expression,medium,common,no,medium
words to that effect,3160,user_list,fixed expression,medium,common,no,medium
work to rule,3161,user_list,multi-word verb,medium,common,no,medium
year of grace,3162,user_list,fixed expression,medium,common,no,medium
year on year,3163,user_list,fixed expression,medium,common,no,medium
you can't make an omelette without breaking eggs,3164,user_list,formula/discourse,hard,rare,no,high
you pays your money and you takes your choice,3165,user_list,formula/discourse,medium,common,no,high
your heart is not in something,3166,user_list,idiom,hard,less_common,no,medium
bag and baggage,3167,user_list,binomial phrase,medium,common,no,medium
be borne in on somebody,3168,user_list,multi-word verb,medium,less_common,no,medium
be brought low,3169,user_list,fixed expression,medium,common,no,medium
be bursting to do something,3170,user_list,fixed expression,medium,less_common,no,medium
be coming up roses,3171,user_list,fixed expression,medium,common,no,medium
be drugged up to the eyeballs,3172,user_list,fixed expression,medium,less_common,no,low
be employed in doing something,3173,user_list,fixed expression,medium,less_common,no,medium
be etched on your heart/memory/mind,3174,user_list,fixed expression,medium,less_common,no,medium
be for the chop,3175,user_list,multi-word verb,medium,less_common,no,medium
be frightened/nervous/scared of your own shadow,3176,user_list,idiom,hard,less_common,no,medium
be gagging for it,3177,user_list,fixed expression,medium,common,no,medium
be getting on for...,3178,user_list,sentence frame/pattern,medium,common,no,low
be given the boot,3179,user_list,fixed expression,medium,common,no,medium
be going begging,3180,user_list,fixed expression,medium,common,no,medium
be like shooting fish in a barrel,3181,user_list,idiom,hard,less_common,no,medium
be made of sterner stuff,3182,user_list,fixed expression,medium,less_common,no,medium
be no great shakes,3183,user_list,fixed expression,medium,common,no,medium
be not a patch on somebody/something,3184,user_list,fixed expression,medium,less_common,no,low
be riveted to the spot/ground,3185,user_list,fixed expression,medium,less_common,no,medium
give a dog a bad name,3186,user_list,idiom,hard,less_common,no,medium
give a good/poor account of yourself,3187,user_list,fixed expression,medium,less_common,no,low
give somebody a box on the ears,3188,user_list,idiom,hard,less_common,no,medium
give somebody gyp,3189,user_list,fixed expression,medium,common,no,medium
give somebody the elbow,3190,user_list,fixed expression,medium,common,no,medium
give somebody/get a thick ear,3191,user_list,idiom,hard,common,no,medium
give somebody/get the bum's rush,3192,user_list,fixed expression,medium,less_common,no,medium
give somebody/something up as a bad job,3193,user_list,fixed expression,medium,less_common,no,low
give somebody/something/get short shrift,3194,user_list,fixed expression,medium,common,no,medium
give your eye teeth for something/to do something,3195,user_list,idiom,hard,less_common,no,medium
glued to the spot,3196,user_list,idiom,hard,common,no,medium
go a long/some way towards doing something,3197,user_list,fixed expression,medium,less_common,no,low
go all round the houses,3198,user_list,fixed expression,medium,less_common,no,medium
go by the board,3199,user_list,multi-word verb,medium,less_common,no,medium
go down a bomb,3200,user_list,multi-word verb,medium,less_common,no,medium
go hot and cold,3201,user_list,binomial phrase,medium,common,no,medium
go like a bomb,3202,user_list,fixed expression,medium,common,no,medium
go on the block,3203,user_list,multi-word verb,medium,less_common,no,medium
go over/through something with a fine-tooth/fine-toothed comb,3204,user_list,fixed expression,medium,less_common,no,low
go the way of all flesh,3205,user_list,fixed expression,medium,less_common,no,low
go to the devil!,3206,user_list,formula/discourse,easy,very_common,no,high
go to the expense of something/of doing something,3207,user_list,multi-word verb,medium,less_common,no,medium
go to the stake over/for something,3208,user_list,multi-word verb,medium,less_common,no,medium
gone for a burton,3209,user_list,fixed expression,hard,rare,no,medium
great/tall oaks from little acorns grow,3210,user_list,idiom,hard,less_common,no,medium
hale and hearty,3211,user_list,binomial phrase,medium,common,no,medium
half a loaf is better than no bread,3212,user_list,idiom,hard,less_common,no,medium
hang/hold on for/like grim death,3213,user_list,fixed expression,medium,less_common,no,medium
haul somebody over the coals,3214,user_list,fixed expression,medium,less_common,no,medium
have a card up your sleeve,3215,user_list,idiom,hard,less_common,no,medium
